Comment,Designator,Footprint,LCSC
10uH,L1,L_1206_3216Metric,C1051
CSD13381F4,Q2,DFN100X60X35-3N,C111971
FT234XD-R,U5,SON45P300X300X80-13N,C132158
10u,C6,C_1206_3216Metric,C13585
HT7533-1,U3,SOT-89-3,C14289
FS8205A,Q1,SOT-23-6,C16052
TP4056,U4,SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm,C16581
4.7uF,C4,C_1206_3216Metric,C1779
300,R15,R_1206_3216Metric,C17887
0,"R20,R21,R3,R31,R32,R4,R5",R_1206_3216Metric,C17888
100k,"R14,R17,R26",R_1206_3216Metric,C17900
10k,"R22,R27,R28,R29,R30,R9",R_1206_3216Metric,C17902
10,"R18,R19,R24,R25",R_1206_3216Metric,C17903
180,R23,R_1206_3216Metric,C17924
4.7k,R2,R_1206_3216Metric,C17936
750,R16,R_1206_3216Metric,C17985
10000pF,C2,C_1206_3216Metric,C1846
8Mhz,Y1,Crystal_SMD_HC49-SD_HandSoldering,C188205
LMT87DCK,U1,SOT-353_SC-70-5,C206058
LED,"D2,D4",LED_0603_1608Metric,C2286
0.1 µF,"C1,C5",C_1206_3216Metric,C24497
300,"R1,R6,R7",R_1206_3216Metric,C25118
1k,R11,R_1206_3216Metric,C25862
SW_Push,SW1,SW_PUSH_6mm,C273465
4.7u,"C7,C8,C9",C_1206_3216Metric,C29823
100nF,C3,C_1206_3216Metric,C307331
1n,C11,C_1206_3216Metric,C35216
USB_B_Micro,J5,USB_Micro-B_XKB_U254-051T-4BH83-F1S,C404969
DW01A,IC1,SOT23-6,C436931
1K,"R10,R12,R13,R8",R_1206_3216Metric,C4410
MBR340,D1,Schottky Diode,C475721
Conn_01x05_Pin,J4,PinHeader_1x05_P2.54mm_Vertical,C5156614
Conn_01x10_Pin,J3,PinHeader_1x10_P2.54mm_Vertical,C5156617
AT24C256C-SSHL-T,U8,SOIC127P600X175-8N,C6482
TPS61022RWUR,U7,CONV_TPS61022RWUR,C915088
LPS22HB,U2,ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y,C94049
47uF,C10,C_1206_3216Metric,C96123
Conn_01x24_Socket,J1,PinSocket_1x24_P2.54mm_Vertical,
TestPoint,TP14,TestPoint_Pad_D1.5mm,
TestPoint,TP3,TestPoint_Pad_D1.5mm,
TestPoint,TP11,TestPoint_Pad_D1.5mm,
TestPoint,TP4,TestPoint_Pad_D1.5mm,
TestPoint,TP6,TestPoint_Pad_D1.5mm,
TestPoint,TP13,TestPoint_Pad_D1.5mm,
Conn_01x24_Socket,J2,PinSocket_1x24_P2.54mm_Vertical,
TestPoint,TP8,TestPoint_Pad_D1.5mm,
TestPoint,TP7,TestPoint_Pad_D1.5mm,
TestPoint,TP5,TestPoint_Pad_D1.5mm,
TestPoint,TP1,TestPoint_Pad_D1.5mm,
Battery_Cell,BT1,18650_HOLDER_TH,
TestPoint,TP2,TestPoint_Pad_D1.5mm,
TestPoint,TP12,TestPoint_Pad_D1.5mm,
